"","Sample_Number","Year","Month","Date","Site","Number_of_Samples","Sample_Replicate","Wet_Weight","Dry_Weight","Ratio_Dry_to_Wet","Analytical_Dry_Weight","Carbon_%","Hydrogen_%","Nitrogen_%","Carbon_Nitrogen_Ratio","Notes"
"242",96,2005,8,2005-08-08,"ABUR",15,2,8.88,0.96,0.11,2403,28.28,3.9,2.09,13.53,"datasheet missing"
"243",97,2005,9,2005-09-06,"AQUE",15,1,7.23,0.78,0.11,2399,28.64,4.12,2.42,11.82,""
"244",97,2005,9,2005-09-06,"AQUE",15,2,7.23,0.78,0.11,2260,28.33,4.05,2.34,12.09,""
"245",98,2005,9,2005-09-07,"MOHK",15,1,5.44,0.68,0.13,2467,30.8,4.36,2.03,15.15,""
"246",98,2005,9,2005-09-07,"MOHK",15,2,5.44,0.68,0.13,2454,31.09,4.37,2.04,15.25,""
"247",99,2005,9,2005-09-13,"ABUR",15,1,8.88,0.96,0.11,2303,29.2,4.32,1.31,22.35,""
"248",99,2005,9,2005-09-13,"ABUR",15,2,8.88,0.96,0.11,2238,29.58,4.38,1.25,23.61,""
"251",100,2005,10,2005-10-05,"AQUE",15,1,7.38,0.7,0.09,2280,26.09,3.55,1.94,13.48,""
"252",100,2005,10,2005-10-05,"AQUE",15,2,7.38,0.7,0.09,2414,25.81,3.54,1.86,13.9,""
"253",101,2005,10,2005-10-11,"ABUR",15,1,7.1,0.74,0.1,2082,29.49,4.41,1.56,18.95,""
"254",101,2005,10,2005-10-11,"ABUR",15,2,7.1,0.74,0.1,2209,28.63,4.3,1.5,19.1,""
"255",102,2005,11,2005-11-03,"MOHK",15,1,7.68,0.72,0.09,2311,27.81,4.44,1.66,16.72,""
"256",102,2005,11,2005-11-03,"MOHK",15,2,7.68,0.72,0.09,2409,28.4,4.14,1.7,16.7,""
"257",103,2005,11,2005-11-04,"ABUR",15,1,6.46,0.54,0.08,2197,29.28,4.33,1.33,21.99,""
"258",103,2005,11,2005-11-04,"ABUR",15,2,6.46,0.54,0.08,2503,29.24,4.22,1.37,21.35,""
"259",104,2005,11,2005-11-07,"AQUE",15,1,6.3,0.56,0.09,2137,27.41,3.92,1.86,14.7,""
"260",104,2005,11,2005-11-07,"AQUE",15,2,6.3,0.56,0.09,2352,27.8,3.83,1.87,14.88,""
"261",105,2005,12,2005-12-01,"AQUE",15,1,7.88,0.72,0.09,2286,26.58,3.71,2.18,12.18,""
"262",105,2005,12,2005-12-01,"AQUE",15,2,7.88,0.72,0.09,2500,25.87,3.62,2.04,12.66,""
"263",106,2005,12,2005-12-02,"MOHK",9,1,6.61,0.68,0.1,2472,28.25,3.93,2.06,13.74,""
"264",106,2005,12,2005-12-02,"MOHK",9,2,6.61,0.68,0.1,2285,29.63,4.17,2.27,13.04,""
"265",107,2005,12,2005-12-05,"ABUR",10,1,5.72,0.53,0.09,2226,29.3,4.28,1.65,17.77,""
"266",107,2005,12,2005-12-05,"ABUR",10,2,5.72,0.53,0.09,2220,28.59,4.11,1.7,16.79,""
"267",108,2006,1,2006-01-12,"AQUE",15,1,6.62,0.7,0.11,2270,29.34,4.23,3.12,9.41,""
"268",108,2006,1,2006-01-12,"AQUE",15,2,6.62,0.7,0.11,2268,29.05,4.12,3.09,9.39,""
"269",109,2006,1,2006-01-18,"MOHK",15,1,5.42,0.58,0.11,2249,26.87,3.68,1.65,16.3,""
"270",109,2006,1,2006-01-18,"MOHK",15,2,5.42,0.58,0.11,2221,27.11,3.65,1.62,16.73,""
"271",110,2006,1,2006-01-24,"ABUR",15,1,7.4,0.61,0.08,2040,32.01,4.37,2.52,12.73,""
"272",110,2006,1,2006-01-24,"ABUR",15,2,7.4,0.61,0.08,2112,31.49,4.33,2.5,12.58,""
"273",111,2006,2,2006-02-07,"AQUE",15,1,6.79,0.7,0.1,2424,35.05,5.02,2.71,12.96,""
"274",111,2006,2,2006-02-07,"AQUE",15,2,6.79,0.7,0.1,2124,35.18,5.06,2.57,13.69,""
"275",112,2006,2,2006-02-10,"MOHK",15,1,6.63,0.62,0.09,2394,28.72,4.05,1.66,17.26,""
"276",112,2006,2,2006-02-10,"MOHK",15,2,6.63,0.62,0.09,2146,28.71,4.26,1.71,16.77,""
"277",113,2006,2,2006-02-21,"ABUR",15,1,6.52,0.62,0.1,2157,28.7,4.21,1.73,16.57,""
"278",113,2006,2,2006-02-21,"ABUR",15,2,6.52,0.62,0.1,2422,29.49,4.32,1.76,16.8,""
"279",114,2006,3,2006-03-08,"MOHK",15,1,6.18,0.62,0.1,2119,30.44,4.13,1.81,16.85,""
"280",114,2006,3,2006-03-08,"MOHK",15,2,6.18,0.62,0.1,2175,30.25,4.08,1.81,16.7,""
"281",115,2006,3,2006-03-14,"ABUR",15,1,6.37,0.62,0.1,2467,27.51,3.82,3.34,8.24,""
"282",115,2006,3,2006-03-14,"ABUR",15,2,6.37,0.62,0.1,2163,27.09,3.72,3.24,8.36,""
"283",116,2006,3,2006-03-20,"AQUE",15,1,8.11,0.86,0.11,2298,31.34,4.25,2.77,11.3,""
"284",116,2006,3,2006-03-20,"AQUE",15,2,8.11,0.86,0.11,2350,31.87,4.35,2.71,11.75,""
"285",117,2006,4,2006-04-10,"ABUR",15,1,6,0.58,0.1,2352,26.53,3.6,3.02,8.78,""
"286",117,2006,4,2006-04-10,"ABUR",15,2,6,0.58,0.1,2388,26.97,3.6,3.02,8.94,""
"287",118,2006,4,2006-04-18,"MOHK",15,1,6.36,0.61,0.1,2420,27.43,3.66,2.83,9.7,""
"288",118,2006,4,2006-04-18,"MOHK",15,2,6.36,0.61,0.1,2045,27.14,3.61,2.77,9.79,""
"289",119,2006,4,2006-04-20,"AQUE",15,1,8.2,0.85,0.1,2426,29.39,4.12,2.68,10.95,""
"290",119,2006,4,2006-04-20,"AQUE",15,2,8.2,0.85,0.1,2025,29.95,4.16,2.41,12.45,""
"291",120,2006,5,2006-05-02,"ABUR",15,1,7.4,0.66,0.09,2255,31.02,4.21,2.59,11.98,""
"292",120,2006,5,2006-05-02,"ABUR",15,2,7.4,0.66,0.09,2195,30.11,3.99,2.52,11.95,""
"293",121,2006,5,2006-05-08,"MOHK",15,1,6.61,0.5,0.08,2427,25.84,3.42,2.03,12.71,""
"294",121,2006,5,2006-05-08,"MOHK",15,2,6.61,0.5,0.08,2311,26.95,3.53,2.15,12.56,""
"295",122,2006,5,2006-05-10,"AQUE",15,1,7.45,0.66,0.09,2305,31.21,4.22,1.53,20.46,""
"296",122,2006,5,2006-05-10,"AQUE",15,2,7.45,0.66,0.09,2398,31.18,4.51,1.79,17.46,""
"297",123,2006,6,2006-06-01,"MOHK",15,1,6.24,0.53,0.08,2419,33.83,4.64,2.4,14.13,""
"298",123,2006,6,2006-06-01,"MOHK",15,2,6.24,0.53,0.08,2230,33.65,4.57,2.49,13.54,""
"299",124,2006,6,2006-06-06,"AQUE",15,1,7.73,0.73,0.09,2226,30.21,4.42,2.03,14.92,""
"300",124,2006,6,2006-06-06,"AQUE",15,2,7.73,0.73,0.09,2225,30.01,4.34,2.17,13.82,""
"301",125,2006,6,2006-06-07,"ABUR",15,1,6.66,0.57,0.09,2275,35.73,5.04,2.3,15.54,""
"302",125,2006,6,2006-06-07,"ABUR",15,2,6.66,0.57,0.09,2318,35.88,5.19,2.51,14.32,""
"303",126,2006,7,2006-07-01,"ABUR",15,1,5.52,0.52,0.09,2298,34.5,5.11,1.47,23.4,""
"304",126,2006,7,2006-07-01,"ABUR",15,2,5.52,0.52,0.09,2298,34.5,5.11,1.47,23.4,""
"305",127,2006,7,2006-07-03,"AQUE",15,1,10.04,1.07,0.11,2336,29.34,4.29,1.57,18.72,""
"306",127,2006,7,2006-07-03,"AQUE",15,2,10.04,1.07,0.11,2336,29.34,4.29,1.57,18.72,""
"307",128,2006,7,2006-07-11,"MOHK",15,1,5.27,0.48,0.09,2525,29.37,4.85,1.57,18.71,""
"308",128,2006,7,2006-07-11,"MOHK",15,2,5.27,0.48,0.09,2525,29.37,4.85,1.57,18.71,""
"309",129,2006,8,2006-08-02,"MOHK",15,1,5.32,0.64,0.12,2050,30.43,4.39,1.45,21.03,""
"310",129,2006,8,2006-08-02,"MOHK",15,2,5.32,0.64,0.12,2050,30.43,4.39,1.45,21.03,""
"311",130,2006,8,2006-08-03,"AQUE",15,1,4.14,0.51,0.12,2019,31.26,4.82,1.25,24.92,""
"312",130,2006,8,2006-08-03,"AQUE",15,2,4.14,0.51,0.12,2019,31.26,4.82,1.25,24.92,""
"313",131,2006,8,2006-08-04,"ABUR",15,1,5.19,0.63,0.12,2168,31.08,4.94,0.8,38.77,""
"314",131,2006,8,2006-08-04,"ABUR",15,2,5.19,0.63,0.12,2168,31.08,4.94,0.8,38.77,""
"315",132,2006,9,2006-09-01,"ABUR",15,1,4.93,0.66,0.13,2080,33.7,5.41,1,33.85,""
"316",132,2006,9,2006-09-01,"ABUR",15,2,4.93,0.66,0.13,2186,33.19,5.34,1.01,32.75,""
"317",133,2006,9,2006-09-02,"MOHK",15,1,3.42,0.57,0.17,2069,31.45,4.83,1.16,27.14,"sample had been in oven for 5min when wet wt ta"
"318",133,2006,9,2006-09-02,"MOHK",15,2,3.42,0.57,0.17,2387,31.62,4.89,1.2,26.3,""
"319",134,2006,9,2006-09-05,"AQUE",15,1,6.13,0.78,0.13,2466,30.88,4.91,1.13,27.22,""
"320",134,2006,9,2006-09-05,"AQUE",15,2,6.13,0.78,0.13,2131,31.5,4.94,1.16,27.17,""
"321",135,2006,10,2006-10-03,"ABUR",15,1,5.24,0.56,0.11,3158,29.87,4.78,1.01,29.46,""
"322",135,2006,10,2006-10-03,"ABUR",15,2,5.24,0.56,0.11,2600,28.48,4.89,0.98,29.15,""
"323",136,2006,10,2006-10-04,"MOHK",15,1,7.08,0.94,0.13,2668,30.04,4.97,1.26,23.84,""
"324",136,2006,10,2006-10-04,"MOHK",15,2,7.08,0.94,0.13,2424,31.43,5.24,1.25,25.24,""
"325",137,2006,10,2006-10-05,"AQUE",15,1,7.76,0.76,0.1,2661,31.42,5.23,1.53,20.53,""
"326",137,2006,10,2006-10-05,"AQUE",15,2,7.76,0.76,0.1,2461,32.56,5.3,1.62,20.16,""
"327",138,2006,11,2006-11-01,"ABUR",15,1,3.9,0.52,0.13,2622,34.08,5.39,0.85,40.23,""
"328",138,2006,11,2006-11-01,"ABUR",15,2,3.9,0.52,0.13,2379,34.19,5.41,0.86,39.86,""
"329",139,2006,11,2006-11-02,"AQUE",15,1,6.63,0.84,0.13,2554,31.81,4.98,1.02,31.24,""
"330",139,2006,11,2006-11-02,"AQUE",15,2,6.63,0.84,0.13,2519,31.23,5.1,1.04,30.11,""
"331",140,2006,11,2006-11-03,"MOHK",15,1,8.33,0.82,0.1,2580,31.86,4.96,1.41,22.61,""
"332",140,2006,11,2006-11-03,"MOHK",15,2,8.33,0.82,0.1,2592,31.86,4.88,1.39,22.87,""
"333",141,2006,12,2006-12-01,"ABUR",15,1,5.65,0.52,0.09,2451,27.61,4.26,1.59,17.4,""
"334",141,2006,12,2006-12-01,"ABUR",15,2,5.65,0.52,0.09,2566,27.21,4.21,1.6,17.06,""
"335",142,2006,12,2006-12-04,"AQUE",15,1,6.42,0.59,0.09,2576,32.64,4.94,1.45,22.45,""
"336",142,2006,12,2006-12-04,"AQUE",15,2,6.42,0.59,0.09,2373,32.07,4.88,1.36,23.59,""
"337",143,2006,12,2006-12-07,"MOHK",15,1,6.21,0.62,0.1,2403,31.78,4.89,1.7,18.65,""
"338",143,2006,12,2006-12-07,"MOHK",15,2,6.21,0.62,0.1,2603,31.67,4.9,1.65,19.18,""
"339",144,2007,1,2007-01-03,"MOHK",15,1,7.43,0.77,0.1,2423,34.94,4.83,2.53,13.83,""
"340",144,2007,1,2007-01-03,"MOHK",15,2,7.43,0.77,0.1,2707,34.83,4.96,2.45,14.24,""
"341",145,2007,1,2007-01-03,"ABUR",15,1,6.84,0.8,0.12,2491,31.95,4.77,2.32,13.77,""
"342",145,2007,1,2007-01-03,"ABUR",15,2,6.84,0.8,0.12,2515,31.59,4.71,2.1,15.05,""
"343",146,2007,1,2007-01-09,"AQUE",15,1,5.5,0.74,0.13,2678,33.9,5.14,1.75,19.37,""
"344",146,2007,1,2007-01-09,"AQUE",15,2,5.5,0.74,0.13,2606,33.88,5.12,1.78,18.99,""
"345",147,2007,2,2007-02-06,"ABUR",15,1,9.61,1.11,0.12,2369,31,4.1,2.54,12.22,""
"346",147,2007,2,2007-02-06,"ABUR",15,2,9.61,1.11,0.12,2113,31.1,4.38,2.45,12.71,""
"347",148,2007,2,2007-02-06,"MOHK",15,1,6.42,0.61,0.1,2466,27.45,3.73,2.63,10.42,""
"348",148,2007,2,2007-02-06,"MOHK",15,2,6.42,0.61,0.1,2513,27.86,3.79,2.63,10.61,""
"349",149,2007,2,2007-02-15,"AQUE",15,1,6.87,0.67,0.1,2251,25.53,3.56,2.22,11.84,"Average of 10 composite samples"
"350",149,2007,2,2007-02-15,"AQUE",15,2,6.87,0.67,0.1,2251,25.53,3.56,2.22,11.84,"Average of 10 composite samples"
"351",159,2007,3,2007-03-02,"ABUR",15,1,7.99,0.86,0.11,2447,30.99,4.82,2.61,11.89,""
"352",159,2007,3,2007-03-02,"ABUR",15,2,7.99,0.86,0.11,2188,31.1,4.81,2.55,12.21,""
"353",161,2007,3,2007-03-05,"AQUE",15,1,8.15,0.92,0.11,2441,27.83,4.09,2.08,13.41,""
"354",161,2007,3,2007-03-05,"AQUE",15,2,8.15,0.92,0.11,2324,27.56,3.99,2,13.79,""
"355",160,2007,3,2007-03-06,"MOHK",15,1,5.62,0.79,0.14,2265,32.42,5.05,2.99,10.86,""
"356",160,2007,3,2007-03-06,"MOHK",15,2,5.62,0.79,0.14,2069,32.31,4.99,3.01,10.74,""
"357",162,2007,4,2007-04-03,"AQUE",15,1,9.44,1.25,0.13,2062,24.82,3.49,2.1,11.81,""
"358",162,2007,4,2007-04-03,"AQUE",15,2,9.44,1.25,0.13,2091,24.36,3.37,2.1,11.62,""
"359",163,2007,4,2007-04-04,"MOHK",15,1,9.53,1.01,0.11,2331,25.08,3.4,2.45,10.24,""
"360",163,2007,4,2007-04-04,"MOHK",15,2,9.53,1.01,0.11,2220,24.14,3.26,2.22,10.87,""
"361",164,2007,4,2007-04-04,"ABUR",15,1,7.06,0.97,0.14,2150,30.88,4.73,2.65,11.65,""
"362",164,2007,4,2007-04-04,"ABUR",15,2,7.06,0.97,0.14,2315,31.19,4.82,2.66,11.74,""
"363",165,2007,5,2007-05-01,"MOHK",15,1,12.47,1.16,0.09,2201,23.99,3.16,2.14,11.19,""
"364",165,2007,5,2007-05-01,"MOHK",15,2,12.47,1.16,0.09,2358,25.81,3.49,2.19,11.81,""
"365",166,2007,5,2007-05-02,"ABUR",15,1,7.68,0.83,0.11,2348,27.2,3.86,2.48,10.99,""
"366",166,2007,5,2007-05-02,"ABUR",15,2,7.68,0.83,0.11,2294,26.63,3.77,2.55,10.44,""
"367",167,2007,5,2007-05-08,"AQUE",15,1,11.32,0.96,0.08,2039,24.88,3.45,3.03,8.22,""
"368",167,2007,5,2007-05-08,"AQUE",15,2,11.32,0.96,0.08,2088,24.38,3.36,2.96,8.24,""
"369",168,2007,6,2007-06-04,"MOHK",15,1,10.2,1.16,0.11,2141,25.12,3.61,1.98,12.7,""
"370",168,2007,6,2007-06-04,"MOHK",15,2,10.2,1.16,0.11,1906,26.64,3.79,1.99,13.36,""
"371",169,2007,6,2007-06-04,"ABUR",15,1,8.81,1.07,0.12,1985,30.12,4.64,2.07,14.54,""
"372",169,2007,6,2007-06-04,"ABUR",15,2,8.81,1.07,0.12,2198,29.07,4.44,2.19,13.27,""
"373",170,2007,6,2007-06-07,"AQUE",15,1,6.89,0.77,0.11,2154,26.77,3.87,2.82,9.5,""
"374",170,2007,6,2007-06-07,"AQUE",15,2,6.89,0.77,0.11,2126,26.4,3.79,2.69,9.83,""
"375",171,2007,7,2007-07-02,"AQUE",15,1,7.44,0.7,0.09,1947,29.96,3.64,2.46,12.17,""
"376",171,2007,7,2007-07-02,"AQUE",15,2,7.44,0.7,0.09,1998,30.3,3.72,2.31,13.1,""
"377",172,2007,7,2007-07-09,"ABUR",15,1,11.4,1.54,0.14,2070,30.6,4.33,1.96,15.66,""
"378",172,2007,7,2007-07-09,"ABUR",15,2,11.4,1.54,0.14,2068,30.33,4.24,2.05,14.83,""
"379",173,2007,7,2007-07-12,"MOHK",15,1,14.66,1.87,0.13,2143,29.14,3.9,2.52,11.59,""
"380",173,2007,7,2007-07-12,"MOHK",15,2,14.66,1.87,0.13,2192,29.37,3.92,2.34,12.54,""
"381",174,2007,8,2007-08-01,"AQUE",15,1,7.66,0.87,0.11,1975,27.18,3.51,1.68,16.14,""
"382",174,2007,8,2007-08-01,"AQUE",15,2,7.66,0.87,0.11,1985,26.94,3.48,1.61,16.69,""
"383",175,2007,8,2007-08-01,"MOHK",15,1,10.81,1.18,0.11,2005,24.78,3.18,1.81,13.73,""
"384",175,2007,8,2007-08-01,"MOHK",15,2,10.81,1.18,0.11,2057,27.3,3.54,1.93,14.13,""
"385",176,2007,8,2007-08-02,"ABUR",15,1,8.08,0.97,0.12,2078,27.94,3.77,1.99,14.05,""
"386",176,2007,8,2007-08-02,"ABUR",15,2,8.08,0.97,0.12,2173,27.66,3.74,1.89,14.63,""
"387",177,2007,9,2007-09-01,"AQUE",15,1,9.42,0.67,0.07,2123,33.59,4.82,1.22,27.6,""
"388",177,2007,9,2007-09-01,"AQUE",15,2,9.42,0.67,0.07,2200,34.13,4.79,1.27,26.87,""
"389",178,2007,9,2007-09-05,"MOHK",15,1,9.46,1.18,0.12,2036,27.34,3.8,1.35,20.21,""
"390",178,2007,9,2007-09-05,"MOHK",15,2,9.46,1.18,0.12,2183,27.7,3.87,1.39,19.92,""
"391",179,2007,9,2007-09-07,"ABUR",15,1,9.42,0.83,0.09,2023,34.54,5.13,1.67,20.7,""
"392",179,2007,9,2007-09-07,"ABUR",15,2,9.42,0.83,0.09,2038,34.95,5.17,1.72,20.37,""
"393",180,2007,10,2007-09-29,"MOHK",15,1,6.66,0.83,0.12,2186,28.61,3.82,1.42,20.2,""
"394",180,2007,10,2007-09-29,"MOHK",15,2,6.66,0.83,0.12,2255,27.78,3.76,1.33,20.89,""
"395",181,2007,10,2007-09-29,"ABUR",15,1,5.58,0.71,0.13,1925,30.17,4.46,1.29,23.33,""
"396",181,2007,10,2007-09-29,"ABUR",15,2,5.58,0.71,0.13,2063,30.48,4.54,1.17,26.15,""
"397",182,2007,10,2007-10-08,"AQUE",15,1,7.63,0.64,0.08,1944,35.96,4.7,1.69,21.24,""
"398",182,2007,10,2007-10-08,"AQUE",15,2,7.63,0.64,0.08,2073,35.11,4.62,1.76,19.98,""
"399",183,2007,11,2007-11-05,"ABUR",15,1,10.34,0.8,0.08,2064,26.91,3.8,1.87,14.38,""
"400",183,2007,11,2007-11-05,"ABUR",15,2,10.34,0.8,0.08,2002,26.64,3.79,1.83,14.54,""
"401",184,2007,11,2007-11-05,"MOHK",15,1,9.16,0.83,0.09,2013,26.85,3.67,2.41,11.16,""
"402",184,2007,11,2007-11-05,"MOHK",15,2,9.16,0.83,0.09,2178,24.4,3.33,2.34,10.42,""
"403",185,2007,11,2007-11-07,"AQUE",15,1,7.43,0.79,0.11,2095,26.55,3.58,2.3,11.57,""
"404",185,2007,11,2007-11-07,"AQUE",15,2,7.43,0.79,0.11,2232,26.47,3.6,2.1,12.6,""
"405",186,2007,12,2007-12-03,"ABUR",15,1,8.9,0.99,0.11,2482,28.04,3.95,1.77,15.84,""
"406",186,2007,12,2007-12-03,"ABUR",15,2,8.9,0.99,0.11,2225,27.4,3.97,1.79,15.28,""
"407",187,2007,12,2007-12-03,"MOHK",15,1,10.93,1.1,0.1,2298,28.33,3.92,2.01,14.13,""
"408",187,2007,12,2007-12-03,"MOHK",15,2,10.93,1.1,0.1,2079,28.93,4,2.15,13.44,""
"409",188,2007,12,2007-12-10,"AQUE",15,1,7.89,0.82,0.1,2131,25.04,3.27,2.35,10.65,""
"410",188,2007,12,2007-12-10,"AQUE",15,2,7.89,0.82,0.1,2164,25.82,3.38,2.43,10.63,""
"411",189,2008,1,2008-01-02,"ABUR",15,1,6.39,0.74,0.12,2121,26.27,3.6,2.65,9.92,""
"412",189,2008,1,2008-01-02,"ABUR",15,2,6.39,0.74,0.12,2193,26.21,3.76,2.51,10.43,""
"413",190,2008,1,2008-01-02,"MOHK",15,1,6.94,0.83,0.12,2210,26.84,3.85,2.43,11.05,""
"414",190,2008,1,2008-01-02,"MOHK",15,2,6.94,0.83,0.12,2224,27.4,3.93,2.44,11.23,""
"415",191,2008,1,2008-01-03,"AQUE",15,1,8.68,0.73,0.08,2202,25.18,3.41,2.43,10.38,""
"416",191,2008,1,2008-01-03,"AQUE",15,2,8.68,0.73,0.08,2271,24.83,3.35,2.41,10.32,""
"417",192,2008,2,2008-02-01,"AQUE",15,1,10.8,0.85,0.08,2098,23.92,3.36,2.77,8.63,""
"418",192,2008,2,2008-02-01,"AQUE",15,2,10.8,0.85,0.08,2253,24.91,3.51,2.87,8.68,""
"419",193,2008,2,2008-02-07,"MOHK",15,1,6.87,0.66,0.1,2149,24.19,3.13,2.51,9.62,""
"420",193,2008,2,2008-02-07,"MOHK",15,2,6.87,0.66,0.1,2142,24.55,3.36,2.54,9.65,""
"421",194,2008,2,2008-02-07,"ABUR",15,1,8.84,0.89,0.1,2119,28.45,4.12,2.91,9.78,""
"422",194,2008,2,2008-02-07,"ABUR",15,2,8.84,0.89,0.1,2078,27.59,4.01,2.85,9.68,""
"423",195,2008,3,2008-03-04,"MOHK",15,1,8.82,0.86,0.1,2332,25.84,3.55,2.39,10.79,""
"424",195,2008,3,2008-03-04,"MOHK",15,2,8.82,0.86,0.1,2179,26.25,3.58,2.39,10.98,""
"425",196,2008,3,2008-03-04,"ABUR",15,1,9.47,0.85,0.09,2353,26.94,3.79,2.77,9.73,""
"426",196,2008,3,2008-03-04,"ABUR",15,2,9.47,0.85,0.09,2383,26.96,3.8,2.74,9.84,""
"427",197,2008,3,2008-03-05,"AQUE",15,1,9.29,1.01,0.11,2216,27.55,3.81,2.85,9.65,""
"428",197,2008,3,2008-03-05,"AQUE",15,2,9.29,1.01,0.11,2343,26.85,3.9,2.67,10.04,""
"429",198,2008,4,2008-04-01,"AQUE",15,1,7.46,0.83,0.11,2150,28.34,4.02,3.1,9.13,""
"430",198,2008,4,2008-04-01,"AQUE",15,2,7.46,0.83,0.11,2073,28.07,4.2,3.07,9.15,""
"431",199,2008,4,2008-04-03,"ABUR",15,1,7.19,0.51,0.07,2109,35.66,5.07,3.49,10.23,""
"432",199,2008,4,2008-04-03,"ABUR",15,2,7.19,0.51,0.07,2174,36.72,5.18,3.65,10.07,""
"433",200,2008,4,2008-04-03,"MOHK",15,1,7.02,0.49,0.07,2104,36.34,5.12,3.47,10.49,""
"434",200,2008,4,2008-04-03,"MOHK",15,2,7.02,0.49,0.07,2208,36.68,5.06,3.61,10.16,""
"435",201,2008,5,2008-05-01,"MOHK",15,1,6.63,1,0.15,2187,31.73,4.78,2.18,14.57,""
"436",201,2008,5,2008-05-01,"MOHK",15,2,6.63,1,0.15,2276,31.96,4.8,2.14,14.92,""
"437",202,2008,5,2008-05-01,"ABUR",15,1,8.73,1.23,0.14,2074,30.94,4.73,2.17,14.23,""
"438",202,2008,5,2008-05-01,"ABUR",15,2,8.73,1.23,0.14,2262,31.19,4.83,2.17,14.4,""
"439",203,2008,5,2008-05-02,"AQUE",15,1,8.13,0.82,0.1,2217,25.97,3.67,2.94,8.82,""
"440",203,2008,5,2008-05-02,"AQUE",15,2,8.13,0.82,0.1,2159,25.59,3.56,2.89,8.84,""
"441",204,2008,6,2008-06-02,"MOHK",15,1,7.1,0.85,0.12,2175,29.65,4.31,2.79,10.61,""
"442",204,2008,6,2008-06-02,"MOHK",15,2,7.1,0.85,0.12,2103,29.42,4.28,2.86,10.28,""
"443",205,2008,6,2008-06-03,"AQUE",15,1,8.43,0.84,0.1,2240,26.32,3.67,2.51,10.5,""
"444",205,2008,6,2008-06-03,"AQUE",15,2,8.43,0.84,0.1,2200,25.54,3.54,2.54,10.07,""
"445",206,2008,6,2008-06-12,"ABUR",15,1,8.94,1.39,0.16,2801,34.63,5.24,2.52,13.75,""
"446",206,2008,6,2008-06-12,"ABUR",15,2,8.94,1.39,0.16,2657,34.98,5.22,2.67,13.12,""
"447",207,2008,7,2008-07-01,"AQUE",15,1,9.17,1,0.11,2315,30.13,4.48,1.67,18.03,""
"448",207,2008,7,2008-07-01,"AQUE",15,2,9.17,1,0.11,2292,29.33,4.26,1.78,16.47,""
"449",208,2008,7,2008-07-08,"MOHK",15,1,7.74,1.03,0.13,2783,32,5.2,1.64,19.55,""
"450",208,2008,7,2008-07-08,"MOHK",15,2,7.74,1.03,0.13,2741,31.68,4.82,1.7,18.6,""
"451",209,2008,7,2008-07-10,"ABUR",15,1,8.52,0.86,0.1,2667,25.08,3.55,1.7,14.72,""
"452",209,2008,7,2008-07-10,"ABUR",15,2,8.52,0.86,0.1,2346,25.28,3.56,1.51,16.72,""
"453",210,2008,8,2008-08-07,"MOHK",15,1,6.5,0.9,0.14,2221,32.62,5.09,1.83,17.82,""
"454",210,2008,8,2008-08-07,"MOHK",15,2,6.5,0.9,0.14,2113,32.84,4.89,1.78,18.46,""
"455",211,2008,8,2008-08-07,"ABUR",15,1,6.43,0.98,0.15,2399,34.03,5.56,1.63,20.84,""
"456",211,2008,8,2008-08-07,"ABUR",15,2,6.43,0.98,0.15,2071,34.09,5.27,1.41,24.14,""
"457",212,2008,8,2008-08-08,"AQUE",15,1,9.13,0.76,0.08,2344,35.29,4.91,1.6,22,""
"458",212,2008,8,2008-08-08,"AQUE",15,2,9.13,0.76,0.08,2671,35.64,4.91,1.55,23.04,""
"459",213,2008,9,2008-09-03,"AQUE",15,1,7.76,1,0.13,2447,32.51,5.29,1.41,23.12,""
"460",213,2008,9,2008-09-03,"AQUE",15,2,7.76,1,0.13,2368,32.17,5.02,1.36,23.71,""
"461",214,2008,9,2008-09-04,"MOHK",15,1,7.86,0.81,0.1,2327,31.94,4.91,1.52,21,""
"462",214,2008,9,2008-09-04,"MOHK",15,2,7.86,0.81,0.1,2756,32.87,5.55,1.56,21.06,""
"463",215,2008,9,2008-09-04,"ABUR",15,1,7.38,0.86,0.12,2086,36.15,5.42,1.63,22.24,""
"464",215,2008,9,2008-09-04,"ABUR",15,2,7.38,0.86,0.12,2150,36.04,5.93,1.53,23.53,""
"465",216,2008,10,2008-09-29,"MOHK",15,1,6.8,0.98,0.14,2065,31.76,5.09,1.58,20.06,""
"466",216,2008,10,2008-09-29,"MOHK",15,2,6.8,0.98,0.14,2151,32.49,5.26,1.62,20.04,""
"467",217,2008,10,2008-10-01,"ABUR",15,1,6.37,0.86,0.14,2300,30.9,4.99,1.25,24.68,""
"468",217,2008,10,2008-10-01,"ABUR",15,2,6.37,0.86,0.14,1974,31.46,4.97,1.26,25.05,""
"469",218,2008,10,2008-10-02,"AQUE",15,1,8.93,0.87,0.1,2229,37.44,5.94,1.37,27.26,""
"470",218,2008,10,2008-10-02,"AQUE",15,2,8.93,0.87,0.1,2293,37.5,6.03,1.36,27.64,""
"471",234,2008,11,2008-11-06,"AQUE",15,1,5.57,0.65,0.12,2257,30.86,4.75,1.4,22.04,""
"472",234,2008,11,2008-11-06,"AQUE",15,2,5.57,0.65,0.12,1996,31.09,4.77,1.37,22.69,""
"473",235,2008,11,2008-11-07,"MOHK",15,1,6.58,0.54,0.08,2080,36.63,5.33,2.35,15.6,""
